epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1550.41,1.59339,2.79692,2.32247,1.21332,0.55379,0.47567,0.4765,0.25987,0.52121,0.42309,0.41172,0.18752,1.56247,2.46487,1.69467,1.18502,0.00333155,0.00333155,0.00333155
2,1821.5,1.55203,2.59028,1.67096,1.16999,0.55551,0.4906,0.49505,0.2759,0.51578,0.44534,0.43152,0.2047,1.55975,2.39107,1.56557,1.19193,0.00665828,0.00665828,0.00665828
3,2088.4,1.60962,2.63487,1.61337,1.18551,0.54026,0.48494,0.4835,0.25824,0.51129,0.4186,0.41097,0.18268,1.67093,2.54394,1.52035,1.25316,0.00997842,0.00997842,0.00997842
4,2353.95,1.63965,2.67504,1.56958,1.19858,0.58467,0.4957,0.52169,0.2852,0.54624,0.4522,0.45609,0.21167,1.60908,2.38901,1.43478,1.21704,0.0099703,0.0099703,0.0099703
5,2619.5,1.58861,2.5836,1.46193,1.17613,0.583,0.53389,0.5491,0.30651,0.5434,0.48042,0.47297,0.22104,1.52874,2.30448,1.36465,1.15903,0.0099604,0.0099604,0.0099604
6,2883.15,1.5502,2.52416,1.38224,1.15476,0.62445,0.53571,0.56777,0.32234,0.58602,0.48541,0.49221,0.23134,1.49536,2.24765,1.28673,1.15056,0.0099505,0.0099505,0.0099505
7,3149.2,1.5192,2.46191,1.31635,1.13923,0.64372,0.55683,0.59178,0.33893,0.58598,0.49865,0.5044,0.24326,1.44558,2.18978,1.2491,1.11419,0.0099406,0.0099406,0.0099406
8,3413.93,1.50408,2.42921,1.28184,1.12954,0.6515,0.57581,0.61908,0.36352,0.62864,0.5259,0.55155,0.25922,1.43175,2.16948,1.20215,1.1053,0.0099307,0.0099307,0.0099307
9,3679.58,1.47496,2.38052,1.24603,1.11784,0.65932,0.58824,0.62363,0.3677,0.59394,0.52673,0.53001,0.25491,1.40379,2.13748,1.16648,1.08481,0.0099208,0.0099208,0.0099208
10,3943.47,1.45992,2.36736,1.22046,1.11384,0.68334,0.59392,0.64593,0.38107,0.63548,0.52754,0.55262,0.27055,1.39824,2.11018,1.11832,1.08525,0.0099109,0.0099109,0.0099109
